评分点 | 评分标准 | 具体原因描述
综合阐述 | 针对本项日施工进行综合阐述，文字清楚，目标明确，得1分，否则得0分。 | 目标不清晰
 |  | 改造内容未写安装保温材料
 |  | 文字内容晦涩冗长
 |  | 还有融资？股权抵押？气瓶储存安全管理规定？还有危险气体？酸类物品 ？
 |  | 针对本标段的概述欠缺
 |  | 综合阐述范围不是本标段改造范围
 |  | 针对本项目的名称及范围有误
 |  | 无针对本小区的具体内容
管理架构 | 针对本标段编写管理组织架构，岗位配备齐全，职责明确，得1分，否则得0分。 | 组织架构图错误
 |  | 对人员的岗位职责描述不够具体，内容不全面，过于简单
 |  | 针对本标段的安排欠缺
 |  | 针对本标段的安排不详细
 |  | 针对本标段的管理架构叙述不明确
施工进度计划 | 符合工期要求的施工进度计划，文字表述计划与横道图（网络图）相一致，得1分，否则得0分。 | 对横道图详细描述不够
 |  | 横道图描述不够细致，且文字说明并不够阐述横道图计划
 |  | 虽有横道图，但未能对横道图有计划性说明，分为六个阶段并未能标注日历天数，对工期交代不够明确
 |  | 文字表述计划不清晰明确
 |  | 无具体工期目标，无横道图（网络图）
 |  | 没有网络图
 |  | 进度计划不详细具体，无进度横道图或网络图
施工技术方案 | 编写针对本标段施工内容的技术方案，确保施工安全、质量及进度要求，得1分，否则得0分。 | 没有具体施工内容的技术方案、指标
 |  | 有危险化学品么？
 |  | 安全和进度方面内容不够全面
 |  | 针对本标段的方案论述不全面
风险源管控方案 | 针对标段内容编制主要风险源管控方案，得1分，否则得0分。 | 内容不够全面
 |  | 针对性差
 |  | 针对本项目的风险欠缺
关键部位质量管控措施 | 提供关键部位质量管控措施，得1分，否则得0分。 | 内容比较简单
 |  | 关键部位质量管控措施差
 |  | 针对项目的管控欠缺
施工进度保证措施 | 满足竣工工期要求的施工进度保证措施，得1分，否则得0分。 | 内容不够详细
质量、安全、文明施工保证措施 | 符合本标段项目实际情况的质量、安全、文明施工保证措施，得1分，否则得0分。 | 针对本项目的措施欠缺
扬尘污染治理方案 | 编制扬尘污染源，包括防尘、降噪、残土排运等治理方案，得1分，否则得0分。 | 降噪、残土排运措施差
突发事件应急预案 | 编制突发事件应急预案，包括应急预案的组织措施及紧急情况的抢救措施等，得1分，否则得0分。 | 
